filename,framenumber,x0,y0,x1,y1,labels,velocity,kmeans,hdbscan
錄製_2019_11_20_10_13_54_900.mp4,43472,229,885,235,896,10,15.17067323,1,-1
錄製_2019_11_29_16_14_59_189.mp4,31677,127,606,141,658,10,1.7489599930000002,4,79
錄製_2019_11_20_10_13_54_900.mp4,44691,88,1325,93,1332,10,17.2457296,3,0
錄製_2019_11_23_16_16_02_506.mp4,33228,291,1816,316,1825,10,8.90699608,1,2
錄製_2019_11_24_16_10_26_600.mp4,35018,346,1582,361,1589,10,0.0,2,1097
錄製_2019_11_29_16_14_59_189.mp4,24340,726,1398,750,1435,10,16.90837338,3,0
錄製_2019_11_29_16_14_59_189.mp4,27767,771,1959,782,1990,10,0.0,2,1097
錄製_2019_11_28_09_42_38_725.mp4,39544,403,488,411,515,5,6.399330749,5,7
錄製_2019_11_20_10_13_54_900.mp4,43495,73,1112,80,1122,5,23.34506284,3,-1
錄製_2019_11_28_09_42_38_725.mp4,51400,228,1166,233,1174,10,22.04118085,3,-1
錄製_2019_11_29_16_14_59_189.mp4,32137,694,1474,703,1503,10,16.05657055,1,-1
錄製_2019_11_29_16_14_59_189.mp4,26341,569,1131,576,1141,10,0.0,2,1097
錄製_2019_11_28_09_42_38_725.mp4,51832,604,1478,611,1485,5,25.58662121,3,-1
錄製_2019_11_29_16_14_59_189.mp4,27169,788,1399,798,1414,10,25.95677292,3,-1
錄製_2019_11_23_16_16_02_506.mp4,24553,15,1489,24,1496,0,0.0,2,1097
錄製_2019_11_20_10_13_54_900.mp4,45496,654,1706,664,1716,10,10.90070484,1,-1
錄製_2019_11_28_09_42_38_725.mp4,50152,458,1454,462,1461,5,25.267256500000002,3,-1
錄製_2019_11_29_16_14_59_189.mp4,24616,307,1309,318,1334,10,0.0,2,1097
錄製_2019_11_23_16_16_02_506.mp4,29553,202,1221,206,1230,0,0.0,2,1097
錄製_2019_11_28_09_42_38_725.mp4,42688,525,737,533,742,6,0.0,2,1097
錄製_2019_11_29_16_14_59_189.mp4,25329,585,1195,593,1207,10,4.3830647019999995,5,10
錄製_2019_11_24_16_10_26_600.mp4,29562,422,51,605,106,0,19.95772999,3,-1
錄製_2019_11_29_16_14_59_189.mp4,25030,648,1765,658,1789,10,29.16162724,3,-1
錄製_2019_11_23_16_16_02_506.mp4,33053,382,732,388,747,0,0.0,2,1097
錄製_2019_11_24_16_10_26_600.mp4,29870,501,841,515,846,0,17.001831399999997,3,0
錄製_2019_11_28_09_42_38_725.mp4,39880,229,269,238,286,5,11.17416572,1,-1
錄製_2019_11_28_09_42_38_725.mp4,38944,113,341,122,357,6,0.0,2,1097
錄製_2019_11_20_10_13_54_900.mp4,45542,671,1573,681,1596,10,2.7422154030000003,5,25
錄製_2019_11_20_10_13_54_900.mp4,44622,660,1696,665,1704,5,2.1485335219999997,4,44
錄製_2019_11_29_16_14_59_189.mp4,34943,0,838,11,843,5,0.0,2,1097
錄製_2019_11_28_07_43_03_380.mp4,48158,338,1617,345,1626,10,0.0,2,1097
錄製_2019_11_24_16_10_26_600.mp4,33830,649,1388,674,1413,0,35.69336633,3,-1
錄製_2019_11_29_16_14_59_189.mp4,32252,719,1633,726,1644,10,28.86472698,3,-1
錄製_2019_11_29_16_14_59_189.mp4,24110,427,291,433,301,10,16.04018735,1,-1
錄製_2019_11_28_09_42_38_725.mp4,43240,618,697,626,709,10,26.53697531,3,-1
錄製_2019_11_29_16_14_59_189.mp4,31769,527,1923,544,1954,10,15.71422121,1,-1
錄製_2019_11_20_10_13_54_900.mp4,45404,740,1519,750,1535,10,12.15678197,1,1
錄製_2019_11_29_16_14_59_189.mp4,33241,188,1159,196,1164,10,0.0,2,1097
錄製_2019_11_24_16_10_26_600.mp4,30024,550,749,567,760,0,5.11239547,5,14
錄製_2019_11_24_16_10_26_600.mp4,36976,0,472,13,478,10,0.0,2,1097
錄製_2019_11_28_09_42_38_725.mp4,50776,437,1358,443,1363,5,0.0,2,1097
錄製_2019_11_20_10_13_54_900.mp4,43840,232,608,242,623,10,13.57590167,1,-1
錄製_2019_11_28_09_42_38_725.mp4,43000,673,955,680,960,10,0.0,2,1097
錄製_2019_11_23_16_16_02_506.mp4,26778,339,1521,350,1534,0,14.74629466,1,-1
錄製_2019_11_29_16_14_59_189.mp4,35035,459,1529,472,1539,10,0.0,2,1097
錄製_2019_11_28_09_42_38_725.mp4,40024,527,1064,532,1076,10,11.81344585,1,1
錄製_2019_11_20_10_13_54_900.mp4,43932,343,714,355,733,5,3.608704134,5,24
錄製_2019_11_28_09_42_38_725.mp4,39160,479,920,485,928,10,0.0,2,1097
錄製_2019_11_29_16_14_59_189.mp4,24133,609,897,616,905,10,22.92701334,3,-1
錄製_2019_11_29_16_14_59_189.mp4,25674,656,989,664,999,10,17.19765893,3,0
錄製_2019_11_29_16_14_59_189.mp4,31723,90,1258,102,1281,10,13.15932384,1,-1
錄製_2019_11_24_16_10_26_600.mp4,28352,472,1086,488,1104,10,5.5337534360000005,5,6
錄製_2019_11_28_09_42_38_725.mp4,50608,591,1385,595,1392,10,17.64224586,3,0
錄製_2019_11_24_16_10_26_600.mp4,28968,489,1147,497,1163,0,6.427097155,5,7
錄製_2019_11_23_16_16_02_506.mp4,28153,186,520,196,528,0,0.0,2,1097
錄製_2019_11_20_10_13_54_900.mp4,45519,818,1719,823,1730,10,16.30897496,1,0
錄製_2019_11_29_16_14_59_189.mp4,31608,460,999,466,1011,10,0.0,2,1097
錄製_2019_11_23_16_16_02_506.mp4,22103,275,1405,284,1415,0,0.0,2,1097
錄製_2019_11_24_16_10_26_600.mp4,31410,844,1053,859,1075,6,24.21109638,3,-1
錄製_2019_11_24_16_10_26_600.mp4,29100,639,1558,651,1566,10,1.571623432,4,75
錄製_2019_11_29_16_14_59_189.mp4,23535,751,1189,764,1225,10,30.53663516,3,-1
錄製_2019_11_20_10_13_54_900.mp4,44323,560,951,574,964,10,10.35986411,1,4
錄製_2019_11_24_16_10_26_600.mp4,34138,608,1667,616,1688,10,5.933334761,5,9
錄製_2019_11_23_16_16_02_506.mp4,23778,293,1070,310,1078,2,0.0,2,1097
錄製_2019_11_29_16_14_59_189.mp4,33494,429,1354,453,1363,10,0.0,2,1097
錄製_2019_11_20_10_13_54_900.mp4,44898,643,1722,649,1738,10,11.50570303,1,-1
錄製_2019_11_20_10_13_54_900.mp4,45404,862,1914,867,1928,10,12.34753892,1,1
錄製_2019_11_29_16_14_59_189.mp4,29538,225,1481,236,1519,10,0.0,2,1097
錄製_2019_11_23_16_16_02_506.mp4,36876,583,3,590,19,0,0.0,2,1097
錄製_2019_11_24_16_10_26_600.mp4,33038,114,1934,139,1973,6,22.75714733,3,-1
錄製_2019_11_24_16_10_26_600.mp4,36536,718,1459,734,1467,10,14.85848771,1,-1
錄製_2019_11_24_16_10_26_600.mp4,27780,293,50,300,59,10,8.394541139,1,2
錄製_2019_11_20_10_13_54_900.mp4,44277,233,568,243,583,5,1.035507951,4,148
錄製_2019_11_23_16_16_02_506.mp4,28528,550,1505,565,1512,0,24.32976333,3,-1
錄製_2019_11_28_09_42_38_725.mp4,44344,454,399,461,411,10,1.440937254,4,86
